Number of Breast Cancer Patients with HCPCS in NCH and Outpatient by claim year																							
In order to ensure confidentiality cell sizes less than 11 are masked (#).																							
HCPCS	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018			
00921	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00922	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00924	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00928	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00930	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00932	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00938	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00940	706	723	794	878	933	950	868	799	733	670	738	622	590	552	505	469	459	438	436	406			
00942	375	458	506	465	456	449	440	432	380	388	408	372	347	284	285	290	237	263	251	266			
00944	327	342	369	445	464	436	407	464	415	407	432	384	374	304	337	295	288	262	246	257			
00946	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00948	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00950	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00952	517	748	978	1334	1481	1555	1559	1483	1419	1316	1424	1437	1547	1467	1464	1427	1533	1533	1422	1385			
00955	13	22	15	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00972	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01000	19	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01003	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01057	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01110	23	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01112	#	#	12	16	30	33	31	36	47	52	63	85	101	126	115	119	132	135	140	164			
01120	14	23	20	16	32	33	21	21	28	24	38	39	43	36	31	35	36	39	46	42			
01130	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01140	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01150	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01160	#	#	#	19	14	19	25	16	12	26	18	24	26	26	45	54	54	68	87	102			
01167	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01170	#	#	#	#	#	#	#	#	#	#	#	#	#	#	17	13	13	17	28	20			
01173	#	#	#	#	#	#	#	11	#	#	13	13	12	#	#	#	14	15	18	15			
01175	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01178	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01180	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01190	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01200	65	77	94	87	102	119	115	106	136	139	141	134	159	150	165	198	192	166	176	186			
01202	#	#	#	#	#	#	#	#	13	14	15	14	26	22	24	25	22	29	27	24			
01210	377	381	379	403	439	642	771	795	862	976	913	979	1022	1058	898	1009	882	831	888	795			
01212	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01214	894	996	1241	1412	1558	1535	1566	1534	1609	1529	1611	1750	1750	1940	2052	2015	2186	2154	2270	2362			
01215	#	#	104	145	154	194	216	197	223	224	225	198	251	280	242	274	254	268	254	245			
01216	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01220	12	44	55	78	74	99	101	105	109	125	110	119	137	128	175	166	169	197	163	201			
01230	435	566	713	849	1016	1062	1096	1279	1385	1325	1419	1413	1513	1550	1654	1769	1760	1608	1754	1807			
01232	25	35	45	42	50	59	63	69	64	70	64	51	65	63	65	60	54	48	47	35			
01234	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01240	44	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01250	32	30	54	63	72	90	69	91	84	83	85	100	84	95	108	91	91	94	102	115			
01260	55	59	86	77	115	135	86	84	77	68	60	43	57	49	51	36	37	29	30	32			
01270	192	218	230	255	276	280	292	258	264	257	255	251	248	228	235	223	212	184	210	198			
01272	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01274	21	28	30	34	53	51	74	66	45	40	47	45	46	52	46	38	37	33	25	27			
01299	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01300	24	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01320	45	38	43	69	53	84	68	70	76	69	76	83	69	71	61	72	74	72	70	72			
01328	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01340	#	#	#	#	11	#	#	#	#	#	#	#	#	#	11	11	13	#	#	#			
01352	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
01360	30	47	60	64	113	113	100	103	100	114	123	120	122	126	127	130	156	155	183	151			
